case,candidates,searchers,accuracy,policy_count,reduced_profile_count,optimum_fraction,optimum_decimal,direct_fraction,direct_decimal,territorial_fraction,pooled_fraction,role_gain_fraction,direct_is_optimal,selected_policy_type,direct_evaluator_match,normalization_exact
M2_N2_p1-4,2,2,1/4,4,10,1,1.000000000000,7/16,0.437500000000,1,1,9/16,False,territorial,True,True
M2_N2_p1-2,2,2,1/2,4,10,1,1.000000000000,3/4,0.750000000000,1,1,1/4,False,territorial,True,True
M2_N2_p3-4,2,2,3/4,4,10,1,1.000000000000,15/16,0.937500000000,1,1,1/16,False,territorial,True,True
M2_N4_p1-2,2,4,1/2,4,35,1,1.000000000000,15/16,0.937500000000,1,1,1/16,False,territorial,True,True
M2_N4_p3-4,2,4,3/4,4,35,1,1.000000000000,255/256,0.996093750000,1,1,1/256,False,territorial,True,True
M2_N4_p9-10,2,4,9/10,4,35,1,1.000000000000,9999/10000,0.999900000000,1,1,1/10000,False,territorial,True,True
M3_N2_p1-3,3,2,1/3,27,378,2/3,0.666666666667,5/9,0.555555555556,2/3,2/3,1/9,False,territorial,True,True
M3_N2_p1-2,3,2,1/2,27,378,3/4,0.750000000000,3/4,0.750000000000,2/3,13/16,0,True,hybrid,True,True
M3_N2_p2-3,3,2,2/3,27,378,8/9,0.888888888889,8/9,0.888888888889,2/3,11/12,0,True,direct,True,True
M3_N2_p4-5,3,2,4/5,27,378,24/25,0.960000000000,24/25,0.960000000000,2/3,97/100,0,True,direct,True,True
M3_N3_p1-3,3,3,1/3,27,3654,1,1.000000000000,19/27,0.703703703704,1,1,8/27,False,territorial,True,True
M3_N3_p1-2,3,3,1/2,27,3654,1,1.000000000000,7/8,0.875000000000,1,1,1/8,False,territorial,True,True
M3_N3_p2-3,3,3,2/3,27,3654,1,1.000000000000,26/27,0.962962962963,1,1,1/27,False,territorial,True,True
M3_N3_p4-5,3,3,4/5,27,3654,1,1.000000000000,124/125,0.992000000000,1,1,1/125,False,territorial,True,True
M4_N2_p1-4,4,2,1/4,256,32896,1/2,0.500000000000,7/16,0.437500000000,1/2,1/2,1/16,False,territorial,True,True
M4_N2_p1-2,4,2,1/2,256,32896,3/4,0.750000000000,3/4,0.750000000000,1/2,7/9,0,True,direct,True,True
M4_N2_p3-4,4,2,3/4,256,32896,15/16,0.937500000000,15/16,0.937500000000,1/2,17/18,0,True,direct,True,True
